feature,importance
feature_142,0.00027508162314780695
feature_188,0.000267762398511508
feature_117,0.0002562021865930613
feature_197,0.0002513155226883034
feature_193,0.00024919321770550357
feature_202,0.00024702851986796226
feature_83,0.0002452181674709346
feature_120,0.00024247477782211987
feature_176,0.00022391326118244864
feature_102,0.00022249621025096045
feature_157,0.00022010241715113483
feature_95,0.0002155623957234291
feature_146,0.00021108698642409776
feature_196,0.0002069963273428407
feature_31,0.00019124914178994336
feature_70,0.00019092098670799837
feature_122,0.00018532478320863467
feature_140,0.00018328086469928092
feature_177,0.000181985854787457
feature_175,0.00018036310272197733
feature_99,0.00017969850532599605
feature_216,0.00017421095584915764
feature_119,0.00017348673380371683
feature_155,0.0001728688438734954
feature_62,0.00016065327457494
feature_3,0.0001599135721835997
feature_251,0.00015949968593401064
feature_170,0.00015761990988597693
feature_172,0.000154408254420088
feature_118,0.0001524854881959323
feature_165,0.0001451490759955528
feature_103,0.0001406054543565737
feature_207,0.0001331990703769651
feature_94,0.00013195073786719005
feature_59,0.00013010734505991098
feature_23,0.00011336359246668708
feature_161,0.0001112212355286063
feature_26,0.00010841832275742364
feature_249,9.534870402979e-05
feature_84,9.077295374851005e-05
feature_186,8.904244348222493e-05
feature_158,5.174638569990571e-05
feature_89,3.2901119977025665e-05
feature_154,2.7758590209613646e-05
feature_187,1.8206783386036174e-05
